x,y,z,eps_e,layer
0.605666,0.720947,0.73077,0.202887,top
0.606496,0.716195,0.75931,0.165865,top
0.599343,0.744501,0.629656,0.115086,top
0.597986,0.750239,0.664062,0.117348,top
0.597345,0.751672,0.7,0.0916627,top
0.597986,0.750239,0.735937,0.117347,top
0.599343,0.744501,0.770344,0.115087,top
0.58709,0.782271,0.624488,0.0916759,top
0.585028,0.785992,0.660989,0.0494739,top
0.584124,0.788414,0.7,0.0883932,top
0.585028,0.785992,0.739011,0.0494736,top
0.58709,0.78227,0.775512,0.091679,top
0.648278,0.673269,0.64651,0.0772418,bot
0.647771,0.67511,0.673532,0.103835,bot
0.647476,0.676669,0.7,0.0725149,bot
0.647771,0.67511,0.726468,0.103836,bot
0.648279,0.673269,0.75349,0.0772421,bot
0.642493,0.699613,0.645519,0.122762,bot
0.64195,0.702619,0.672207,0.0790477,top
0.641731,0.703975,0.7,0.0896339,top
0.64195,0.702619,0.727793,0.0790475,top
0.642493,0.699613,0.754481,0.122761,bot
0.637472,0.723464,0.640186,0.195708,top
0.636877,0.728205,0.668875,0.201183,top
0.636658,0.729534,0.7,0.221717,top
0.636877,0.728205,0.731125,0.201184,top
0.637472,0.723464,0.759814,0.195708,top
0.63276,0.751592,0.628981,0.11315,top
0.63146,0.75848,0.663792,0.128717,top
0.630913,0.760142,0.7,0.10967,top
0.63146,0.75848,0.736208,0.128716,top
0.63276,0.751593,0.771019,0.113148,top
0.623998,0.791806,0.624547,0.0242145,top
0.622707,0.796707,0.661329,0.0487195,top
0.622376,0.798775,0.7,0.0807331,top
0.622707,0.796706,0.738671,0.0487193,top
0.623998,0.791806,0.775453,0.0242143,top
0.673917,0.677218,0.646613,0.0703091,bot
0.673726,0.679121,0.673542,0.0982095,bot
0.673604,0.680661,0.7,0.0735583,bot
0.673726,0.679121,0.726458,0.0982091,bot
0.673917,0.677218,0.753387,0.0703088,bot
0.671159,0.703798,0.645344,0.127353,top
0.670893,0.706824,0.672118,0.0744371,top
0.670802,0.708328,0.7,0.080285,top
0.670892,0.706824,0.727881,0.0744372,top
0.671159,0.703798,0.754656,0.127353,top
0.668717,0.727982,0.639953,0.184509,top
